id	name	formula	inchikey	exactmass
M_glutaur_c	5-L-Glutamyl-taurine	C7H14N2O6S	WGXUDTHMEITUBO-YFKPBYRVSA-N	254.0572574
M_5mthf_n	5-Methyltetrahydrofolate	C20H25N7O6	ZNOVTXRBGFNYRX-STQMWFEESA-N	459.1866316
M_mhpglu_c	5-methyltetrahydropteroyltri-L-glutamate	C30H39N9O12	HVRNKDVLFAVCJF-VJANTYMQSA-N	717.2718177
M_5mta_c	5-Methylthioadenosine	C11H15N5O3S	WUUGFSXJNOTRMR-IOSLPCCCSA-N	297.0895605
M_5oxpro_c	5-Oxoproline	C5H7NO3	ODHCTXKNWHHXJC-UHFFFAOYSA-N	129.0425931
M_prpp_n	5-Phospho-alpha-D-ribose1-diphosphate(5-)	C5H13O14P3	PQGCEDQWHSBAJP-TXICZTDVSA-N	389.9518161
M_pram_c	5-Phospho-beta-D-ribosylamine	C5H12NO7P	SKCBPEVYGOQGJN-TXICZTDVSA-N	229.0351387
M_dhbpt_c	6,7-Dihydrobiopterin	C9H13N5O3	ZHQJVZLJDXWFFX-UHFFFAOYSA-N	239.1018393
M_6pgc_c	6-Phospho-D-gluconate(3-)	C6H13O10P	BIRSGZKFKXLSJQ-SQOUGZDYSA-N	276.0246336
M_6pgl_n	6-phospho-D-glucono-1,5-lactone(2-)	C6H11O9P	IJOJIVNDFQSGAB-SQOUGZDYSA-N	258.0140689
M_6pthp_n	6-Pyruvoyl-5,6,7,8-tetrahydropterin	C9H11N5O3	WBJZXBUVECZHCE-UHFFFAOYSA-N	237.0861892
M_xol7a_c	7alpha-Hydroxycholesterol	C27H46O2	OYXZMSRRJOYLLO-RVOWOUOISA-N	402.3497807
M_dhf_c	7,8-Dihydrofolate	C19H21N7O6	OZRNSSUDZOLUSN-LBPRGKRZSA-N	443.1553314
M_dhpt_c	7,8-dihydropteroate	C14H14N6O3	WBFYVDCHGVNRBH-UHFFFAOYSA-N	314.1127383
M_xoldioloneh_c	7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one	C27H46O3	HHVQPBXBALLUDF-QORHGLQKSA-N	418.3446953
